級分,國文,英文,數學A,數學B,社會,自然
60,0.61,0.73,0.36,0.79,0.66,0.73
59,1.04,1.48,0.51,0.85,0.96,1.39
58,1.60,2.43,0.59,1.35,1.42,2.24
57,2.43,3.52,0.81,1.63,2.07,3.32
56,3.68,5.13,0.98,2.27,2.99,5.11
55,5.24,6.86,1.41,3.22,4.15,7.08
54,7.20,8.73,1.65,3.84,5.52,9.26
53,9.24,11.04,2.11,4.86,7.08,11.53
52,11.92,13.24,2.45,5.60,8.25,14.25
51,14.98,15.60,3.26,7.01,10.57,17.20
50,18.11,18.15,3.66,7.59,13.12,20.16
49,21.73,20.42,4.68,9.35,15.86,22.87
48,25.47,22.72,5.87,11.22,19.27,26.03
47,29.50,25.31,6.60,12.07,22.63,29.08
46,33.67,27.55,7.95,14.21,25.71,32.18
45,37.79,29.78,8.65,15.17,29.42,34.68
44,41.90,32.08,10.46,17.33,33.40,37.72
43,46.10,34.33,11.36,18.57,37.52,40.92
42,50.12,36.54,13.24,20.87,41.59,43.71
41,54.02,38.73,14.18,23.04,45.55,46.40
40,58.44,40.84,16.40,24.42,49.77,49.17
39,62.19,42.94,17.47,26.79,52.29,51.74
38,65.73,44.72,19.89,28.01,56.30,54.25
37,69.18,46.39,21.10,30.32,59.98,56.71
36,72.67,48.25,23.91,31.47,64.00,59.05
35,75.83,50.01,25.36,33.91,67.60,61.50
34,78.77,51.75,28.27,36.30,71.28,63.91
33,81.59,53.41,29.53,37.33,74.39,66.05
32,84.12,55.16,32.56,39.75,77.72,68.65
31,86.54,56.69,35.66,40.99,80.82,70.94
30,88.64,58.28,37.24,43.30,83.71,73.30
29,90.39,59.91,40.47,44.52,86.16,75.39
28,92.08,61.58,42.14,46.98,88.54,77.50
27,93.49,63.18,45.54,49.49,90.57,79.57
26,94.64,64.82,47.18,50.67,91.50,81.44
25,95.66,66.51,50.56,53.10,93.14,83.38
24,96.55,68.29,52.32,54.53,94.33,85.17
23,97.15,70.05,55.87,57.13,95.50,87.08
22,97.71,71.62,57.65,58.50,96.45,88.75
21,98.14,73.37,61.31,61.12,97.26,90.53
20,98.51,75.22,63.43,64.02,97.83,92.05
19,98.78,77.37,67.47,65.28,98.38,93.57
18,99.03,79.48,69.46,68.52,98.86,94.75
17,99.19,81.57,73.33,70.00,99.18,95.91
16,99.34,83.78,77.35,73.23,99.42,96.89
15,99.49,85.86,79.21,74.95,99.62,97.71
14,99.61,87.94,82.90,78.69,99.77,98.48
13,99.69,90.07,84.63,82.32,99.82,99.00
12,99.76,92.54,88.20,84.10,99.90,99.42
11,99.81,94.58,89.82,87.59,99.94,99.67
10,99.87,96.35,92.83,89.39,99.97,99.83
9,99.91,97.69,94.10,92.29,99.98,99.92
8,99.94,98.70,96.18,93.65,99.99,99.96
7,99.97,99.33,97.05,96.13,99.99,99.99
6,99.98,99.79,98.32,97.74,99.99,99.99
5,99.99,99.92,98.83,98.39,99.99,99.99
4,99.99,99.98,99.55,99.21,99.99,100.00
3,100.00,99.99,99.71,99.45,99.99,100.00
2,100.00,100.00,99.91,99.77,99.99,100.00
1,100.00,100.00,99.97,99.93,99.99,100.00
0,100.00,100.00,100.00,100.00,100.00,100.00

