校名,系組名,採計及加權,普通生錄取分數,普通生同分參酌,原住民錄取分數,退伍軍人錄取分數,僑生錄取分數,蒙藏生錄取分數,派外子女錄取分數,檢定科目及標準-學科能力測驗,檢定科目及標準-英聽,同分參酌順序,核定名額,回流名額,招生名額,錄取人數-男,錄取人數-女,外加錄取-男,外加錄取-女,錄取總人數（含外加）
國立臺灣大學,中國文學系,國x1.50 英x1.25 歷x1.25 地x1.00,259,,-----,-----,-----,-----,-----,1.數學A(均標) 或數學B(均標),,國文 英文 歷史 地理,19,2,21,9,12,0,0,21
國立臺灣大學,外國語文學系,英x2.00 國x1.25 歷x1.00 地x1.00,282.75,英 58,301.9,-----,-----,-----,-----,1.數學A(均標) 或數學B(均標),A級,英文 國文 歷史 地理,40,1,41,8,33,0,1,42
國立臺灣大學,歷史學系,歷x1.00 國x1.00 英x1.00 地x1.00 公x1.00,263,歷 54,264.6,-----,-----,-----,-----,1.數學A(均標) 或數學B(均標),,歷史 國文 英文 地理 公民與社會,21,0,21,9,12,1,0,22
國立臺灣大學,哲學系,國x1.00 英x1.00 歷x1.00 公x1.00,203,,-----,-----,-----,-----,-----,1.英文(前標) 2.數學A(前標) 或數學B(前標),,國文 英文 歷史 公民與社會,11,5,16,10,6,0,0,16
國立臺灣大學,人類學系,英x1.50 歷x1.00 國x1.00 地x1.00 公x1.00,282.5,英 59,-----,-----,-----,-----,-----,1.數學A(均標) 或數學B(均標),,英文 歷史 國文 地理 公民與社會,15,7,22,8,14,0,0,22
國立臺灣大學,圖書資訊學系,國x1.25 英x1.25 歷x1.00 公x1.00,238,國 57,251.6,-----,-----,-----,-----,1.數學A(均標) 或數學B(均標),,國文 英文 歷史 公民與社會,14,1,15,7,8,1,0,16
國立臺灣大學,日本語文學系,英x1.50 國x1.50 歷x1.00 地x1.00 公x1.00,317,,-----,-----,-----,-----,-----,1.數學A(均標) 或數學B(均標),,英文 國文 歷史 地理 公民與社會,18,0,18,4,14,0,0,18
國立臺灣大學,戲劇學系(男),英x1.50 國x1.50 數Bx1.00 歷x1.00 地x1.00,285.5,,-----,-----,-----,-----,-----,,,英文 國文 數學B 歷史 地理,5,2,7,7,0,0,0,7
國立臺灣大學,戲劇學系(女),英x1.50 國x1.50 數Bx1.00 歷x1.00 地x1.00,290.5,,310.4,-----,-----,-----,-----,,,英文 國文 數學B 歷史 地理,5,3,8,0,8,0,1,9
國立臺灣大學,數學系,數Ax1.50 數甲x1.50 物x1.00 化x1.00 英x1.00,301,,-----,-----,-----,-----,-----,1.數學A(頂標) 2.自然(頂標),,數學A 數學甲 物理 化學 英文,12,5,17,17,0,0,0,17
國立臺灣大學,物理學系,物x1.50 數甲x1.50 英x1.00 化x1.00,266.5,,-----,-----,-----,-----,-----,1.數學A(前標) 2.自然(前標),,物理 數學甲 英文 化學,19,3,22,20,2,0,0,22
國立臺灣大學,化學系,化x1.00 英x1.00 數甲x1.00 物x1.00 國x1.00,250,化 55,259.2,-----,-----,-----,-----,1.國文(均標) 2.英文(均標),,化學 英文 數學甲 物理 國文,23,6,29,19,10,1,0,30
國立臺灣大學,地質科學系,數甲x1.00 英x1.00 化x1.00 物x1.00 國x1.00,232,數甲 40 英 60,-----,-----,-----,-----,-----,1.自然(前標),,數學甲 英文 化學 物理 國文,8,5,13,7,6,0,0,13
國立臺灣大學,心理學系,數甲x1.00 英x1.00 國x1.00 生x1.00 化x1.00,250,數甲 54,259.2,-----,-----,-----,-----,,,數學甲 英文 國文 生物 化學,31,6,37,14,23,0,1,38
國立臺灣大學,地理環境資源學系A組,數甲x1.00 物x1.00 化x1.00,138,,-----,-----,-----,-----,-----,1.英文(均標),,數學甲 物理 化學,7,1,8,8,0,0,0,8
國立臺灣大學,地理環境資源學系B組,地x1.25 公x1.00 數Bx1.00,175.25,,-----,-----,-----,-----,-----,1.英文(均標) 2.數學B(前標),,地理 公民與社會 數學B,7,2,9,8,1,0,0,9
國立臺灣大學,大氣科學系,數甲x1.25 物x1.25 化x1.25 英x1.00 國x1.00,269,,-----,-----,-----,-----,-----,1.英文(均標) 2.自然(前標),,數學甲 物理 化學 英文 國文,10,3,13,11,2,0,0,13
國立臺灣大學,政治學系政治理論組,英x1.25 國x1.25 社x1.00 歷x1.00 地x1.00,299.5,英 51,-----,-----,-----,-----,-----,1.數學A(均標) 或數學B(均標),,英文 國文 社會 歷史 地理,19,6,25,14,11,0,0,25
國立臺灣大學,政治學系國際關係組,英x1.25 國x1.25 社x1.00 歷x1.00 地x1.00,309,英 58,316.4,-----,-----,-----,-----,1.數學A(均標) 或數學B(均標),,英文 國文 社會 歷史 地理,19,5,24,11,13,0,2,26
國立臺灣大學,政治學系公共行政組,英x1.25 國x1.25 社x1.00 歷x1.00 地x1.00,301,,382.05,-----,-----,-----,-----,1.數學A(均標) 或數學B(均標),,英文 國文 社會 歷史 地理,19,9,28,13,15,0,1,29
